,name,address,wifi
0,name,address,wifi
1,海景門市,200基隆市仁愛區港西街6之2號,Y
2,新世界門市,100台北市中正區忠孝西路一段49號B1,
3,寶平門市,100台北市中正區寶慶路32號,Y
4,羅斯福門市,106台北市大安區羅斯福路三段301號,Y
5,懷寧門市,100台北市中正區懷寧街10號,Y
6,舊宗門市,114台北市內湖區舊宗路一段188號一樓,Y
7,聯合門市,110台北市信義區忠孝東路四段561號1樓,Y
8,環亞門市,105台北市松山區南京東路三段337號1F,Y
9,環山門市,114台北市內湖區內湖路一段289號,N
10,龍權門市,104台北市中山區民權東路三段22號,Y
11,龍門門市,106台北市大安區忠孝東路四段134號,Y
12,興南門市,106台北市大安區復興南路一段323號1樓,Y
13,興北門市,105台北市松山區復興北路147號1、2F,Y
14,德復門市,105台北市松山區八德路三段251號1~2F,Y
15,漢中門市,108台北市萬華區漢中街51號1~3樓,Y
16,實踐門市,104台北市中山區大直街70號1樓,Y
17,鼎豐門市,106台北市大安區忠孝東路四段218號一樓,Y
18,萬芳門市,116台北市文山區興隆路三段111號,Y
19,瑞傳門市,114台北市內湖區瑞光路476號,Y
20,瑞光門市,114台北市內湖區瑞光路356號,Y
21,新光門市,110台北市信義區松壽路11號1樓,N
22,新天母門市,111台北市士林區天母西路33號1樓,N
23,陽明山門市,112台北市北投區湖山路一段14號之1 1樓,Y
24,華視門市,106台北市大安區光復南路180巷14號,Y
25,港墘門市,114台北市內湖區瑞光路216號,Y
26,敦富門市,106台北市大安區敦化南路二段59號,Y
27,敦南門市,106台北市大安區敦化南路二段101號1樓,Y
28,敦信門市,106台北市大安區信義路四段149號1F,N
29,敦化門市,105台北市松山區敦化北路147號1F,Y
30,復安門市,106台北市大安區復興南路一段135巷9號,N
31,許昌門市,100台北市中正區忠孝西路一段50號,Y
32,統豐門市,110台北市信義區東興路65號,Y
33,統誠門市,110台北市信義區松高路11號,Y
34,捷運門市,台北市中正區台北火車站4號出口上,N
35,康寧門市,114台北市內湖區康寧路三段72號1F,Y
36,興和門市,台北市大安區復興南路二段275號,Y
37,微風門市及微廣門市,台北市大安區復興南路1段39號G樓,N
38,常德門市,100台北市中正區常德街1號,N
39,崇興門市,106台北市大安區忠孝東路三段300號B2F,N
40,崇光門市,106台北市大安區忠孝東路四段45號B1,N
41,國醫門市,114台北市內湖區成功路二段325號B1F,N
42,馬偕門市,104台北市中山區民生西路7號,Y
43,站前門市,100台北市中正區忠孝西路一段36號,Y
44,重慶門市,100台北市中正區重慶南路一段104號,Y
45,美麗華門市,104台北市中山區敬業三路20號,Y
46,科教門市,111台北市士林區士商路189號2樓,N
47,政大門市,116台北市文山區指南路二段105號,Y
48,建和門市,106台北市大安區和平東路2段42-1號,Y
49,南園門市,115台北市南港區園區街3號2樓之7,N
50,南港門市,115台北市南港區三重路19-10號1樓,Y
51,南海門市,100台北市中正區南海路20號,N
52,南東門市,104台北市中山區南京東路二段111號1樓,Y
53,南西門市,103台北市大同區南京西路27號,Y
54,武昌門市,108台北市萬華區武昌街二段77號,N
55,松壽門市,110台北市信義區松壽路12號一樓,Y
56,松江門市,104台北市中山區松江路206號1樓,Y
57,松安門市,104台北市中山區松江路61-1號1樓,N
58,松仁門市,110台北市信義區松仁路7號,Y
59,林森門市,104台北市中山區林森北路247號1樓,N
60,杭州門市,100台北市中正區信義路二段一號之一,N
61,忠誠門市,111台北市士林區士東路123號,Y
62,南山門市,110台北市信義區莊敬路168號1F(南山人壽總部大樓),Y
63,忠新門市,100台北市中正區忠孝東路二段134巷2號,Y
64,和平門市,106台北市大安區和平東路一段2號,Y
65,京華門市,105台北市松山區八德路四段138號,Y
66,京祥門市,105台北市松山區南京東路五段154號一樓,Y
67,辛亥門市,106台北市大安區辛亥路2段175號1樓,Y
68,101門市,110台北市信義區市府路45號B.C室,Y
69,三民門市,105台北市松山區民生東路五段158號,Y
70,士林門市,111台北市士林區文林路122號1F,Y
71,士捷門市,111台北市士林區中正路239號,Y
72,大直門市,104台北市中山區敬業三路123號,Y
73,中山門市,104台北市中山區中山北路二段171號一至二樓,Y
74,仁愛門市,106台北市大安區仁愛路四段306號,Y
75,六福門市,104台北市中山區南京東路三段133號,Y
76,公館門市,100台北市中正區羅斯福路四段26號一、二、三樓,Y
77,世貿門市,110台北市信義區信義路四段415-1號,Y
78,北寧門市,105台北市松山區南京東路四段56號1F,Y
79,北榮門市,112台北市北投區石牌路二段201號,N
80,北醫門市,110台北市信義區吳興街252號1樓,N
81,台視門市,105台北市松山區八德路三段10號,Y
82,民生門市,105台北市松山區民生東路三段105號1F,Y
83,民東門市,105台北市松山區民生東路四段57號,N
84,民權門市,104台北市中山區民權東路三段88號1樓,Y
85,永春門市,110台北市信義區忠孝東路五段299號,Y
86,石牌門市,112台北市北投區石牌路二段74號1~3樓,Y
87,仰德門市,111台北市士林區格致路53號,Y
88,光明門市,112台北市北投區光明路218-4號,Y
89,光華門市,100台北市中正區八德路一段34號,Y
90,統領門市,106台北市大安區忠孝東路四段201號,Y
91,宏泰門市,105台北市松山區民生東路三段156-1號,Y
92,地捷門市,106台北市大安區大安路一段77號,Y
93,西湖門市,114台北市內湖區內湖路一段360巷2-1號,Y
94,巨蛋門市,台北市松山區南京東路四段2號,Y
95,文化門市,台北縣林口鄉文化二路一段551號,N
96,頂溪門市,234台北縣永和市永和路二段116號1樓,Y
97,新店門市,231台北縣新店市北新路一段305號,Y
98,新莊門市,台北縣新莊市幸福路763-3號1F之1部,Y
99,新中門市,台北縣新店市中興路三段3號,Y
100,雙和門市,234台北縣永和市中山路一段240號一樓,Y
101,環球門市,235台北縣中和市中山路三段122號,Y
102,慈濟門市,231台北縣新店市建國路289號2樓,Y
103,湯城門市,241台北縣三重市重新路五段609巷10號之3,Y
104,淡水門市,251台北縣淡水鎮公明街89號1~5樓,Y
105,河岸門市,251台北縣淡水鎮中正路205號,Y
106,板雙門市,220台北縣板橋市雙十路二段193號,Y
107,板橋門市,220台北縣板橋市中山路1段152號1樓,Y
108,板中門市,220台北縣板橋市中山路一段15號1樓,Y
109,東科門市,221台北縣汐止市新台五路一段94號一樓,Y
110,亞東門市,220台北縣板橋市南雅南路二段21號,Y
111,竹圍門市,251台北縣淡水鎮民權路42號,Y
112,竹林門市,234台北縣永和市竹林路222-1號,Y
113,立言門市,235台北縣中和市中正路866號1F,N
114,北新門市,231台北縣新店市民權路27號,Y
115,中科門市,235台北縣中和市建一路152號,Y
116,土城門市,236台北縣土城市青雲路152號1樓,N
117,三重門市,241台北縣三重市正義北路13號,N
118,二重門市,241台北縣三重市重新路五段654號,N
119,內壢門市,320桃園縣中壢市中華路一段450號,Y
120,大江門市,320桃園縣中壢市中園路2段501號1F,Y
121,中壢門市,320桃園縣中壢市元化路357號,Y
122,台茂門市,338桃園縣蘆竹鄉南崁路一段112號1F,N
123,桃愛門市,330桃園縣桃園市中山路939號,N
124,桃興門市,330桃園縣桃園市大興西路二段76巷6號,Y
125,航空門市,337桃園縣大園鄉埔心村航站南路15號3F,N
126,航站門市及航廈門市,337桃園縣大園鄉航站南路9號4樓,
127,崇壢門市,320桃園縣中壢市中央西路一段120號,N
128,復興門市,320桃園縣中壢市中山路138號,Y
129,經國門市,330桃園縣桃園市經國路369號1樓,N
130,桃遠門市,桃園縣桃園市中正路20號1樓,N
131,廣達門市,333桃園縣龜山鄉文化二路211號1樓,N
132,林口門市,桃園縣龜山鄉復興一路202號1F,Y
133,宏達電門市,桃園縣桃園市桃園市興華路23號1F,N
134,六家門市,302新竹縣竹北市高鐵七路6號1F,N
135,台元門市,302新竹縣竹北市台元科技園區台元街34號,N
136,園區門市,308新竹縣新竹科學工業園區研新一路9號一樓,N
137,中正門市,300新竹市中正路2號1~2樓,Y
138,介壽門市,300新竹市介壽路47號,Y
139,台積電門市,300新竹市新竹科學園區力行六路六號四樓,N
140,竹達門市,300新竹市力行二路1號,N
141,西大門市,300新竹市西大路323號,Y
142,東門門市,300新竹市東門街47號1~2F,Y
143,研新門市,308新竹市全區科學園區研新二路6號,N
144,清大門市,300新竹市光復路二段344號,Y
145,竹北門市,新竹縣竹北市光明一路376號,Y
146,烏日門市,414台中縣烏日鄉站區二路8號2 F,N
147,豐原門市,420台中縣豐原市復興路2號,Y
148,三越一店門市,407台中市西屯區中港路二段111號3樓,
149,大英門市,  408台中市南屯區公益路二段131號,N
150,中友門市,台中市北區三民路三段161號1樓C棟,Y
151,中港門市,台中市西區中港路一段235號一樓,Y
152,中榮門市,407台中市西屯區中港路三段160號,Y
153,中醫門市,404台中市北區育德路2號,Y
154,五權門市,台中市西區五權西路一段277號1~2樓,N
155,公益門市,403台中市西區公益路246-1號,Y
156,虎城門市,120台中市西屯區河南路三段120號,Y
157,崇漢門市,404台中市北區漢口路四段395號1~2樓,N
158,德安門市,401台中市東區復興路四段186號,Y
159,崇德門市,406台中市北屯區崇德路三段181號1F,N
160,新國門市,407台中市西屯區市政北一路1號,N
161,新廣三門市,403台中市西區中港路一段299號1樓,N
162,墩業門市,408台中市南屯區大墩路717-5號,Y
163,南屯門市,台中市南屯區文心路一段1號,Y
164,福康門市,台中市西屯區福康路1.3號,Y
165,櫻花門市,台中市西屯區櫻花路1號,Y
166,彰基門市,500彰化縣彰化市旭光路235號,Y
167,嘉基門市,600嘉義市忠孝路539號,
168,垂楊門市,嘉義市垂楊路537號一樓,Y
169,阿里山門市,嘉義縣阿里山鄉中正村56號,N
170,耐斯門市,嘉義市東、西區忠孝路600號,N
171,府中門市,700台南市中西區民生路二段489號,
172,南遠門市,701台南市東區前鋒路210號,N
173,長榮門市,701台南市東區長榮路三段139號,Y
174,府榮門市,701台南市東區長榮路1段181號1樓,
175,永福門市,700台南市南區西門路一段658號1樓,N
176,永華門市,708台南市安平區中華西路二段16號,Y
177,台南門市,700台南市中西區中山路166號1樓,Y
178,公園門市,700台南市中西區公園路60號,Y
179,南科門市,744台南縣新市鄉南科三路17號,
180,南台門市,台南縣永康市南台街1號,N
181,永康門市,710台南縣永康市中華路157號,Y
182,仁德南、北門市,717台南縣仁德鄉中洲村中洲1-16號中山高北上休息站),
183,東山門市,台南縣東山鄉科里村枋仔林74-6號 (國道三號東山服務區),Y
184,時代2門市,806高雄市前鎮區中華五路789號1F,
185,廣林門市,802高雄市苓雅區廣州一街149-1號,Y
186,長庚門市,高雄縣鳥松鄉烏松鄉大埤路123號B1,N
187,十全門市,807高雄市三民區十全一路183號,Y
188,三多門市,802高雄市苓雅區三多三路234 236號1.2.3樓,Y
189,大順門市,807高雄市三民區民族一路427號一樓,Y
190,五福門市,800高雄市新興區五福二路262號,Y
191,明誠門市,807高雄市三民區明誠二路72號,Y
192,青年門市,802高雄市苓雅區成功一路221號1F,
193,建國門市,802高雄市苓雅區大順三路115號,Y
194,高榮門市,813高雄市左營區榮總路115號A2,Y
195,高遠門市,802高雄市苓雅區三多四路21號,Y
196,高鐵門市,807高雄市三民區建國二路318號3樓,Y
197,愛河門市,807高雄市前金區河東路356號,N
198,裕誠門市,813高雄市左營區裕誠路396.396-1號,Y
199,夢時代門市,806高雄市前鎮區成功二路2號B1,
200,左營門市,高雄市左營區高鐵路105號2F,N
201,墾丁門市,946屏東縣恆春鎮墾丁路14號,Y
202,屏東門市,900屏東縣屏東市中正路72號,Y
203,海生館門市,944屏東縣車城鄉後灣村後灣路2號,
204,台東門市,950台東縣台東市博愛路478號1樓,N
205,花蓮門市,970花蓮縣花蓮市中山路585號,Y
206,傳藝門市,268宜蘭縣五結鄉五濱路二段201號,N
207,宜蘭門市,260宜蘭縣宜蘭市舊城東路56號,N
208,清境門市,南投縣仁愛鄉定遠新村26-1號1樓,Y
209,日月潭門市,555南投縣魚池鄉中山路101號,Y
210,馬公門市,880澎湖縣馬公市三民路2號,Y
